return_id,order_id,customer_id,email,return_date,reason,return_type,refunded_amount,return_channel,agent_id,refund_method
RTN-31760246,ORD-28646254,CUST-7093,jennifer.chandler@gmail.com,2025-07-29,Arrived damaged,Refund,765.1,Web,ONLINE,Google Pay
RTN-85150575,ORD-28646254,CUST-7093,jennifer.chandler@gmail.com,2025-08-16,Item arrived late,Refund,0.0,Web,ONLINE,Google Pay
RTN-21242557,ORD-75639801,CUST-7896,alexandra.hopkins@gmail.com,2025-07-09,  Found a better price  ,Refund,2843.14,Web,ONLINE,Credit Card
RTN-75532652,ORD-40546907,CUST-10523,brittany.rodriguez@yahoo.com,2025-07-26,Wrong item,Refund,350.1,Web,ONLINE,Credit Card
RTN-11720200,ORD-40546907,CUST-10523,brittany.rodriguez@yahoo.com,2025-08-30,Found a better price,Refund,0.0,Web,ONLINE,Credit Card
RTN-13412816,ORD-21461037,CUST-7484,stephanie.bean@yahoo.com,2025-06-26,Arrived damaged,Refund,406.64,Phone,CSR-0005,Apple Pay
RTN-57158216,ORD-21461037,CUST-7484,stephanie.bean@yahoo.com,2026-04-17,Item arrived late,Refund,0.0,Phone,CSR-0005,Apple Pay
RTN-33884480,ORD-39216489,CUST-9791,monica.erickson@gmail.com,2025-07-05,Defective,Refund,1587.04,NewEgg,ONLINE,Apple Pay
RTN-92295692,ORD-46995561,CUST-10066,deborah.boyer@gmail.com,2025-06-30,Found a better price,Refund,604.41,Web,ONLINE,ACH
RTN-98248289,ORD-20477022,CUST-5418,katie.lin@hotmail.com,2025-06-30,Item arrived late,Refund,1141.6,Web,ONLINE,Apple Pay
RTN-47975682,ORD-50331054,GUEST-100608,rbell@example.org,2025-07-13,Defective,Refund,892.38,Phone,CSR-0009,Credit Card
RTN-61204285,ORD-93563085,GUEST-102758,millersandra@example.com,2025-07-03,Arrived damaged,Refund,921.62,Web,ONLINE,Credit Card
RTN-60115447,ORD-43439215,CUST-7967,alan.decker@yahoo.com,2025-07-21,Wrong item,Refund,1769.08,  Web ,ONLINE,PayPal
RTN-93458735,ORD-96672792,CUST-5286,ashley.krause@hotmail.com,2025-07-10,Arrived damaged,Refund,73.02,Web,,PayPal
RTN-41594153,ORD-12924908,CUST-9487,caitlin.mason@gmail.com,2025-07-08,Changed mind,Refund,386.89,Phone,CSR-0008,Credit Card
RTN-40420945,ORD-06060846,CUST-6604,crystal.barnes@yahoo.com,2025-07-08,Damaged in transit,Refund,975.57,Web,ONLINE,Credit Card
RTN-74394728,ORD-06060846,CUST-6604,crystal.barnes@yahoo.com,2025-07-31,Arrived damaged,Refund,0.0,Web,ONLINE,Credit Card
RTN-34739692,ORD-44941860,CUST-9131,erika.white@yahoo.com,2025-08-11,No longer needed,Refund,2224.23,Web,ONLINE,Credit Card
RTN-94898387,ORD-85241491,CUST-6224,jonathan.bryant@gmail.com,2025-07-22,No longer needed,Refund,913.15,Ebay,ONLINE,Credit Card
RTN-43355046,ORD-73988338,CUST-8026,sarah.jones@yahoo.com,2025-07-06,Defective,Refund,1266.41,Web,ONLINE,Credit Card
RTN-41056211,ORD-21986789,CUST-7470,aimee.juarez@yahoo.com,2025-07-24, Defective  , Refund  ,1421.33,Social Media,ONLINE,Credit Card
RTN-63511747,ORD-21986789,CUST-7470,aimee.juarez@yahoo.com,2025-08-04,Arrived damaged,Refund,0.0,Social Media,ONLINE,Credit Card
RTN-17856319,ORD-10394584,CUST-8286,dustin.trujillo@gmail.com,2025-08-27,Item arrived late,Refund,198.21,NewEgg,ONLINE,Credit Card
RTN-90430970,ORD-91549683,GUEST-101717,brightjeff@example.net,2025-07-25,Item arrived late,Refund,489.48,Ebay,ONLINE,Apple Pay
RTN-37745625,ORD-91549683,GUEST-101717,brightjeff@example.net,2026-04-05,No longer needed,Refund,0.0,Ebay,ONLINE,Apple Pay
RTN-20022157,ORD-60509312,CUST-7181,kelsey.moore@gmail.com,2025-08-24,Product did not match description,Refund,534.94,Web,ONLINE,Credit Card
RTN-65640661,ORD-08004954,CUST-7209,rhonda.gonzalez@hotmail.com,2025-09-13,Changed mind,  Refund  ,292.12,Social Media,ONLINE,PayPal
RTN-17445061,ORD-32868674,GUEST-103404,jerryjackson@example.net,2025-07-26,Defective,Refund,2080.69,Ebay,ONLINE,Credit Card
RTN-37777825,ORD-32868674,GUEST-103404,jerryjackson@example.net,2025-08-10,Item arrived late,Refund,0.0,Ebay,ONLINE,Credit Card
RTN-64610263,ORD-11957276,CUST-5164,michael.williams@yahoo.com,2025-08-01,Damaged in transit,Refund,4223.88,Phone,CSR-0007,Credit Card
RTN-44963387,ORD-11957276,CUST-5164,michael.williams@yahoo.com,2025-08-14,Damaged in transit,Refund,0.0,Phone,CSR-0007,Credit Card
RTN-59441995,ORD-16423942,CUST-10481,matthew.williams@yahoo.com,2025-07-18,Found a better price, Refund ,479.73,Web,ONLINE,PayPal
RTN-65308248,ORD-58366284,CUST-5552,brian.bailey@hotmail.com,2025-11-17,Product did not match description,Refund,174.95,Phone,CSR-0008,PayPal
RTN-39354128,ORD-64427943,GUEST-100219,howellwilliam@example.net,2025-07-30,Arrived damaged,Refund,1571.96,Phone,CSR-0010,Credit Card
RTN-18667472,ORD-91924436,GUEST-102479,nicholashill@example.com,2025-07-29,Defective,Refund,1750.15,Web,ONLINE,Google Pay
RTN-24615458,ORD-31289491,CUST-8444,kaitlyn.ramos@hotmail.com,2025-07-27,Changed mind,Refund,568.0,Web,ONLINE,Credit Card
RTN-99814487,ORD-82815864,CUST-6992,daniel.lewis@hotmail.com,2026-03-01,Damaged in transit,Refund,234.04,Web,ONLINE,Credit Card
RTN-55195224,ORD-82815864,CUST-6992,daniel.lewis@hotmail.com,2026-03-11,Found a better price,Refund,97.87,Web,ONLINE,Credit Card
RTN-40993454,ORD-99730861,CUST-10720,amanda.campbell@gmail.com,2025-09-19,Damaged in transit,Refund,450.82,Web,ONLINE,Google Pay
RTN-76640935,ORD-99730861,CUST-10720,amanda.campbell@gmail.com,2025-10-04,Wrong item,Refund,0.0,Web,ONLINE,Google Pay
RTN-90552033,ORD-02966100,CUST-5779,isaac.torres@gmail.com,2025-08-07,Found a better price,Refund,543.83,Phone,CSR-0020,Credit Card
RTN-85632036,ORD-29813799,CUST-5552,brian.bailey@hotmail.com,2025-09-02,Found a better price,  Refund  ,384.98,Phone,CSR-0008,Apple Pay
RTN-14725940,ORD-44000854,CUST-7627,bob.hunt@gmail.com,2025-07-23,Defective,Refund,3786.52,Ebay,ONLINE,Credit Card
RTN-26246049,ORD-34226829,CUST-9674,jimmy.morris@yahoo.com,2025-07-23,No longer needed,Refund,3603.47,Ebay,ONLINE,Credit Card
RTN-91501417,ORD-05517875,GUEST-101308,reedkevin@example.com,2025-07-26,No longer needed,Refund,581.31,Phone,CSR-0016,PayPal
RTN-99611038,ORD-82261228,GUEST-102938,michael79@example.net,2025-08-01,no longer needed,Refund,73.26,Social Media,ONLINE,Credit Card
RTN-09371673,ORD-96740183,GUEST-101793,hughesbrandi@example.com,2025-07-31,Damaged in transit,Refund,693.99,Web,ONLINE,Google Pay
RTN-20327878,ORD-61680271,GUEST-101714,mary30@example.com,2025-07-28, Product did not match description ,Refund,468.08,Web,ONLINE,Credit Card
RTN-80169459,ORD-01298972,GUEST-103780,brownbryan@example.net,2025-12-10,Defective,Refund,1194.19,Web,ONLINE,Credit Card
RTN-24388884,ORD-88045050,CUST-9749,meghan.martinez@hotmail.com,2025-07-31,Changed mind,Refund,990.04,Phone,CSR-0012,Credit Card
RTN-18362588,ORD-88045050,CUST-9749,meghan.martinez@hotmail.com,2025-08-02,Wrong item,Refund,0.0,Phone,CSR-0012,Credit Card
RTN-95087072,ORD-23256884,CUST-6957,matthew.thomas@gmail.com,2025-09-04,Found a better price,Refund,1062.9,Ebay,ONLINE,Credit Card
RTN-68007965,ORD-24896028,CUST-10587,christine.davis@hotmail.com,2025-08-28,Arrived damaged,  Refund ,1647.27,Ebay,ONLINE,PayPal
RTN-37987304,ORD-75972785,CUST-9031,madison.evans@hotmail.com,2025-08-13,FOUND A BETTER PRICE,Refund,2303.44,Ebay,ONLINE,Credit Card
RTN-98302935,ORD-39322664,GUEST-100801,mmorris@example.net,2025-08-18,Item arrived late,Refund,1399.97,Web,ONLINE,Credit Card
RTN-67415227,ORD-39322664,GUEST-100801,mmorris@example.net,2025-08-29,Wrong item,Refund,0.0,Web,ONLINE,Credit Card
RTN-86869793,ORD-58003239,CUST-7086,elizabeth.thompson@hotmail.com,2025-08-27,Product did not match description,Refund,220.42,Social Media,ONLINE,Credit Card
RTN-20195689,ORD-77641734,CUST-5887,david.martin@hotmail.com,2025-08-01,  Wrong item ,Refund,2082.49,  Web  ,ONLINE,Credit Card
RTN-86579225,ORD-76250584,GUEST-102870,shane86@example.com,2025-07-24,Found a better price,Refund,1934.75,Phone,CSR-0016,Credit Card
RTN-04079941,ORD-79392928,GUEST-100380,ucox@example.com,2025-08-10,Changed mind,Refund,820.4,Ebay,ONLINE,PayPal
RTN-18257662,ORD-45419142,CUST-8134,andres.barton@gmail.com,2025-08-06,Product did not match description,Refund,3967.71,  Web  ,ONLINE,Credit Card
RTN-20116762,ORD-98560575,CUST-8551,alexis.reynolds@yahoo.com,2025-07-30,Wrong item,REFUND,148.15,Ebay,ONLINE,PayPal
RTN-99956203,ORD-58835519,GUEST-103342,thomas45@example.org,2025-08-17,Product did not match description,  Refund  ,644.16,Social Media,ONLINE,Credit Card
RTN-33818166,ORD-64588866,CUST-7903,gary.carter@gmail.com,2025-10-06,Defective,Refund,1191.67,Ebay,ONLINE,Credit Card
RTN-32298758,ORD-68636169,CUST-5720,melissa.juarez@hotmail.com,2025-08-17,No longer needed,Refund,482.15,Web,ONLINE,Credit Card
RTN-12032450,ORD-14584792,CUST-6215,peter.gates@yahoo.com,2025-08-02,Defective,Refund,947.22,Web,ONLINE,PayPal
RTN-87555240,ORD-52218246,CUST-5847,nicole.perez@yahoo.com,2025-10-23,Found a better price,Refund,238.49,Web,ONLINE,Credit Card
RTN-96040944,ORD-64475076,CUST-8411,timothy.cline@gmail.com,2025-08-20,Defective,Refund,1730.64,Phone,CSR-0015,ACH
RTN-72915478,ORD-86188018,GUEST-100606,cchase@example.net,2025-10-07,Defective,Refund,850.33,Social Media,ONLINE,PayPal
RTN-31913888,ORD-13679154,CUST-8578,karen.perry@hotmail.com,2025-08-19,No longer needed,Refund,26.1,Social Media,ONLINE,Credit Card
RTN-99220762,ORD-63655922,CUST-5441,michael.clayton@yahoo.com,2025-08-22,defective,Refund,979.43,Phone,CSR-0007,Credit Card
RTN-08256949,ORD-37186395,CUST-5235,jennifer.walls@hotmail.com,2025-08-12,Wrong item, Refund  ,883.71,NewEgg,ONLINE,Credit Card
RTN-03867675,ORD-37186395,CUST-5235,jennifer.walls@hotmail.com,2025-09-04,Product did not match description, Refund ,0.0,NewEgg,ONLINE,Credit Card
RTN-77453285,ORD-04481236,CUST-9346,james.johnson@gmail.com,2025-08-20,Damaged in transit,Refund,510.99,Web,ONLINE,Credit Card
RTN-91166058,ORD-14319275,CUST-10842,james.lee@yahoo.com,2025-08-01,Arrived damaged,Refund,1145.67,Web,ONLINE,Credit Card
RTN-37069520,ORD-87206960,CUST-8059,mackenzie.schneider@hotmail.com,2025-08-09,  Changed mind ,Refund,828.33,Web,,Google Pay
RTN-23614618,ORD-07823593,CUST-8788,andrew.petty@gmail.com,2025-08-04,Item arrived late,refund,727.71,Web,ONLINE,Credit Card
RTN-09385574,ORD-54440545,CUST-6151,randall.berry@hotmail.com,2025-08-05,No longer needed,Refund,594.22,Web,ONLINE,Apple Pay
RTN-35773067,ORD-70029397,GUEST-101862,zcrane@example.com,2025-08-13,Arrived damaged,Refund,2266.43,Web,ONLINE,Credit Card
RTN-08333696,ORD-55006655,CUST-8707,jessica.matthews@yahoo.com,2025-08-26,Changed mind,Refund,480.55,Web,ONLINE,Credit Card
RTN-64258867,ORD-55006655,CUST-8707,jessica.matthews@yahoo.com,2025-09-22,Changed mind,  Refund  ,48.78,Web,ONLINE,Credit Card
RTN-50550344,ORD-01259598,CUST-9473,rebecca.martin@gmail.com,2025-07-30,Arrived damaged,Refund,2126.84,Web,ONLINE,Credit Card
RTN-40708722,ORD-24813988,CUST-8778,lori.gray@gmail.com,2025-08-05,Arrived damaged,Refund,2900.86,Web,ONLINE,Credit Card
RTN-11125507,ORD-43311294,CUST-9638,robert.garcia@hotmail.com,2025-08-23,Changed mind,Refund,293.6,Phone,CSR-0011,Credit Card
RTN-97581654,ORD-13474233,GUEST-103035,zdavis@example.com,2025-08-07,Found a better price,Refund,470.77,Social Media,ONLINE,Credit Card
RTN-32172923,ORD-26688038,CUST-9207,jacqueline.page@hotmail.com,2025-09-30,Defective,Refund,1182.95,NewEgg,ONLINE,Credit Card
RTN-83154727,ORD-66969029,CUST-5589,jimmy.west@gmail.com,2025-08-16,Defective,Refund,1521.68,Ebay,ONLINE,Credit Card
RTN-19142336,ORD-19655100,GUEST-101287,jasmineunderwood@example.org,2025-08-01,Product did not match description,Refund,526.47,Web,ONLINE,Credit Card
RTN-79203264,ORD-64434300,CUST-9037,robert.marshall@gmail.com,2025-09-17,Found a better price,Refund,392.61,Web,ONLINE,Credit Card
RTN-28336855,ORD-64434300,CUST-9037,robert.marshall@gmail.com,2025-09-19,Product did not match description,Refund,0.0,Web,ONLINE,Credit Card
RTN-70908272,ORD-01379288,CUST-9694,jeffrey.taylor@hotmail.com,2025-09-18,No longer needed,Refund,979.08,Social Media,ONLINE,Google Pay
RTN-11457205,ORD-69414055,CUST-5471,robert.gonzalez@gmail.com,2025-08-24,Wrong item,Refund,1280.26,Web,ONLINE,Credit Card
RTN-05107236,ORD-16853573,GUEST-102040,huffmanzachary@example.org,2025-08-01,Damaged in transit,Refund,160.0,  Web ,ONLINE,Credit Card
RTN-44422560,ORD-61154489,CUST-9646,christopher.richards@yahoo.com,2025-08-20,Arrived damaged,Refund,679.67,Web,ONLINE,Credit Card
RTN-59232069,ORD-96599607,GUEST-102363,maddenjoyce@example.com,2025-08-30,Item arrived late,Refund,1060.74,Web,ONLINE,Credit Card
RTN-75694518,ORD-14156916,CUST-10430,kimberly.harrison@gmail.com,2025-08-29,Arrived damaged,Refund,3046.93,NewEgg,ONLINE,Credit Card
RTN-75619477,ORD-94516974,CUST-6247,jill.burnett@gmail.com,2025-09-01,Product did not match description,Refund,1281.56,Web,ONLINE,Credit Card
RTN-72571644,ORD-78491287,CUST-6116,chad.richards@gmail.com,2026-05-29,Item arrived late,Refund,107.25,Social Media,ONLINE,Apple Pay
RTN-33141117,ORD-65874214,CUST-5865,paula.smith@gmail.com,2025-08-27,Item arrived late,Refund,1907.05,Phone,CSR-0009,Credit Card
RTN-70311736,ORD-62254449,CUST-9757,scott.russell@hotmail.com,2025-08-08,Found a better price,Refund,158.84,Web,ONLINE,Credit Card
RTN-53854011,ORD-71513686,CUST-8602,andrew.zuniga@hotmail.com,2025-08-17,Defective,refund,279.32,Web,ONLINE,PayPal
RTN-54350744,ORD-57456745,GUEST-103966,andrea24@example.com,2025-08-29,Wrong item,Refund,1070.68,Social Media,ONLINE,Credit Card
RTN-68823431,ORD-57456745,GUEST-103966,andrea24@example.com,2025-09-08,Product did not match description,Refund,0.0,Social Media,ONLINE,Credit Card
RTN-72485286,ORD-40144099,CUST-5274,jeffrey.roberts@yahoo.com,2025-09-02,Found a better price,Refund,579.48,Web,ONLINE,Apple Pay
RTN-20150847,ORD-10398879,CUST-9174,wayne.henry@hotmail.com,2025-08-31,Found a better price,Refund,2615.04,Web,ONLINE,Credit Card
RTN-79021239,ORD-14268175,CUST-9819,barbara.jones@gmail.com,2025-09-02,Found a better price, Refund ,1933.88,Phone,CSR-0001,ACH
RTN-57027583,ORD-32454557,CUST-6656,kathleen.moran@hotmail.com,2025-09-07,Item arrived late,Refund,3928.46,Web,ONLINE,Credit Card
RTN-61919004,ORD-03196065,CUST-8740,aaron.bowers@hotmail.com,2025-08-26,Wrong item,Refund,1298.59,Web,ONLINE,PayPal
RTN-34620554,ORD-97904647,CUST-9473,rebecca.martin@gmail.com,2025-08-25,Wrong item,Refund,2608.19,Ebay,ONLINE,Credit Card
