order_id,total_items,order_date,customer_id,email,order_channel,is_expedited,customer_tier,gross_total,net_total,total_discount_amount,payment_method,shipping_speed,shipping_cost,agent_id,actual_shipping_cost,payment_processing_fee,shipping_address,billing_address,clv_bucket,is_reactivated
ORD-86807050,3,2025-04-23T09:38:22,CUST-8019,brandon.boyer@yahoo.com,Web,False,Platinum,1261.2,1177.98,83.22,Credit Card,Standard,5.0,ONLINE,4.3,29.45,"3801 Jennifer Causeway, Lake Allison, MO 44441","3801 Jennifer Causeway, Lake Allison, MO 44441",High,False
ORD-67871229,11,2025-04-23T19:40:27,CUST-6088,kimberly.powell@gmail.com,Social Media,False,Platinum,3802.4,3783.04,19.36, Credit Card  ,STANDARD,5.0,ONLINE,4.74,94.58,"Unit 3902 Box 2624, DPO AA 95999","Unit 3902 Box 2624, DPO AA 95999",High,False
ORD-20774412,6,2025-04-24T02:11:29,GUEST-103508,mknight@example.org,Web,False,Platinum,1215.1,1200.31,14.79,Credit Card,Two-Day,45.0,ONLINE,41.18,30.01,"96442 Hubbard Meadows Suite 425, Matthewhaven, WA 56830","96442 Hubbard Meadows Suite 425, Matthewhaven, WA 56830",High,False
ORD-71295517,6,2025-04-25T05:22:13,GUEST-101881,hmonroe@example.org,Social Media,False,Gold,815.04,719.96,95.08,PayPal,Standard,5.0,ONLINE,4.06,21.6,"941 Jacob Ports, Port John, DC 97625","941 Jacob Ports, Port John, DC 97625",High,False
ORD-38454553,4,2025-04-26T17:54:56,GUEST-101505,melissa15@example.com,Phone,False,Platinum,1091.38,1075.54,15.84,Apple Pay,OVERNIGHT,80.0,CSR-0015,76.15,21.51,"0246 Wilson Stream Apt. 857, Jacobmouth, NE 73340","0246 Wilson Stream Apt. 857, Jacobmouth, NE 73340",High,False
ORD-10773518,5,2025-04-27T08:07:48,CUST-6343,anthony.trujillo@hotmail.com,Web,False,Platinum,1156.41,1140.05,16.36,PayPal,Two-Day,45.0,ONLINE,36.55,34.2,"3922 Johnson Stravenue, Ashleyberg, OH 34619","3922 Johnson Stravenue, Ashleyberg, OH 34619",High,False
ORD-18690497,6,2025-04-27T22:30:09,CUST-6544,amber.robertson@gmail.com,Web,False,Platinum,1744.47,1638.64,105.83,Credit Card,  Standard ,5.0,ONLINE,4.43,40.97,"PSC 8341, Box 0006, APO AA 42786","PSC 8341, Box 0006, APO AA 42786",High,False
ORD-03602955,4,2025-04-28T01:02:07,CUST-8658,catherine.mckay@gmail.com,Social Media,False,Gold,984.03,977.12,6.91,Credit Card,Two-Day,45.0,ONLINE,40.91,24.43,"79033 Stephanie Junction, Lake Krystal, AZ 39451","79033 Stephanie Junction, Lake Krystal, AZ 39451",High,False
ORD-64749210,8,2025-04-28T06:39:04,GUEST-102840,jessica76@example.org,Web,False,Platinum,2188.64,2058.77,129.87,Credit Card,Two-Day,45.0,ONLINE,40.58,51.47,"59824 Vanessa Views Suite 405, East Daleburgh, VT 22105","59824 Vanessa Views Suite 405, East Daleburgh, VT 22105",High,False
ORD-07582413,5,2025-04-28T12:42:36,CUST-7260,danielle.becker@gmail.com,Web,False,Platinum,1380.64,1380.64,0.0,credit card,Overnight,80.0,ONLINE,62.81,34.52,"706 Fry Green, Port Tammyfort, TN 09910","706 Fry Green, Port Tammyfort, TN 09910",High,False
ORD-66682439,6,2025-04-29T00:09:20,CUST-8812,julia.wolfe@gmail.com,Ebay,False,Platinum,1574.94,1574.94,0.0,Credit Card,Two-Day,45.0,ONLINE,33.66,39.37,"4873 Figueroa Dale Suite 923, Port Sarah, MI 02296","4873 Figueroa Dale Suite 923, Port Sarah, MI 02296",High,False
ORD-23351455,1,2025-04-29T03:45:11,CUST-7582,lance.parks@yahoo.com,Web,False,Bronze,44.43,44.43,0.0,Credit Card,Two-Day,45.0,ONLINE,34.92,1.11,"8699 Bryan Plains, West Aliciaside, SC 79681","8699 Bryan Plains, West Aliciaside, SC 79681",Low,False
ORD-81813152,6,2025-04-29T10:50:11,CUST-6934,victoria.fritz@hotmail.com,Phone,True,Platinum,1449.11,1383.57,65.54,Apple Pay,Standard,5.0,CSR-0018,4.17,27.67,"81938 Kyle Skyway Suite 051, Lake Lisaview, NJ 30987","81938 Kyle Skyway Suite 051, Lake Lisaview, NJ 30987",High,False
ORD-26846412,2,2025-04-30T17:00:13,CUST-5395,derrick.harrison@gmail.com,Phone,False,Silver,308.17,308.17,0.0,Credit Card,Standard,5.0,CSR-0014,4.77,7.7,"246 Torres Haven, Hartfort, CA 44178","246 Torres Haven, Hartfort, CA 44178",Medium,False
ORD-89125565,2,2025-05-01T06:26:09,GUEST-103880,russell00@example.com,NewEgg,False,Silver,239.78,193.25,46.53,Credit Card,Standard,5.0,ONLINE,4.31,4.83,"056 Maria Station Suite 381, East Matthew, NE 09039","056 Maria Station Suite 381, East Matthew, NE 09039",Low,False
ORD-57357924,6,2025-05-01T17:21:55,CUST-8838,leslie.henderson@hotmail.com,Phone,False,Platinum,2193.48,2106.09,87.39,ACH,Standard,5.0,CSR-0019,4.12,21.06,"2939 Adams Branch Apt. 208, Teresaburgh, MN 39250","2939 Adams Branch Apt. 208, Teresaburgh, MN 39250",High,False
ORD-38463171,8,2025-05-01T23:34:18,CUST-5283,patrick.moody@hotmail.com,Social Media,False,Platinum,1314.82,1314.82,0.0,Credit Card,Standard,5.0,ONLINE,4.11,32.87,"1452 Christopher Squares, Waltersland, NC 93205","1452 Christopher Squares, Waltersland, NC 93205",High,False
ORD-56055761,4,2025-05-01T23:45:22,CUST-8596,patrick.wilson@hotmail.com,Web,False,Gold,738.48,720.1,18.38,PayPal,TWO-DAY,45.0,ONLINE,35.04,21.6,"5126 Adams Neck, Kevinbury, NJ 95534","5126 Adams Neck, Kevinbury, NJ 95534",Medium,False
ORD-84069359,1,2025-05-02T04:28:13,CUST-7720,marcus.patterson@hotmail.com,Web,False,Gold,667.14,595.31,71.83,Credit Card,Overnight,80.0,ONLINE,62.67,14.88,"Unit 9843 Box 6348, DPO AA 11319","Unit 9843 Box 6348, DPO AA 11319",Medium,False
ORD-80568620,8,2025-05-02T05:22:00,GUEST-102500,janice19@example.net,Web,False,Platinum,2830.36,2830.36,0.0,Credit Card,  Overnight  ,80.0,ONLINE,71.19,70.76,"453 Johnson Harbor Apt. 388, Jacobtown, TN 08242","453 Johnson Harbor Apt. 388, Jacobtown, TN 08242",High,False
ORD-97274360,5,2025-05-02T12:21:25,CUST-8150,jennifer.butler@hotmail.com,Social Media,False,Gold,803.37,721.12,82.25,Credit Card,Standard,5.0,ONLINE,4.19,18.03,"999 Jonathan Avenue, West Destinychester, ID 68930","999 Jonathan Avenue, West Destinychester, ID 68930",High,False
ORD-11806736,2,2025-05-02T19:29:15,GUEST-100521,torrescharles@example.com,Web,False,Silver,358.55,358.55,0.0,Credit Card,Standard,5.0,ONLINE,4.88,8.96,"5319 Timothy Plains, South Nicholas, MO 91255","5319 Timothy Plains, South Nicholas, MO 91255",Medium,False
ORD-08966517,3,2025-05-02T21:47:07,CUST-7873,taylor.vazquez@yahoo.com,Web,False,Gold,901.62,901.62,0.0,Credit Card,Two-Day,45.0,ONLINE,34.16,22.54,"42832 Jackson Burg Apt. 954, North Sarahport, DC 78964","42832 Jackson Burg Apt. 954, North Sarahport, DC 78964",  High  ,False
ORD-60851652,6,2025-05-03T02:12:38,CUST-5368,eileen.morris@gmail.com,Web,False,Gold,829.7,768.78,60.92,Credit Card, Standard  ,5.0,ONLINE,4.93,19.22,"84639 Henson Junctions, Tiffanymouth, KY 32735","84639 Henson Junctions, Tiffanymouth, KY 32735",High,False
ORD-12920687,3,2025-05-03T02:21:08,GUEST-102572,ramirezzachary@example.com,Phone,False,Gold,664.7,664.7,0.0,PayPal,Standard,5.0,CSR-0004,4.2,19.94,"2388 Bruce Well, Port Earl, KS 71172","2388 Bruce Well, Port Earl, KS 71172",Medium,False
ORD-10604436,6,2025-05-03T05:49:32,CUST-5860,jeremy.baxter@hotmail.com,Web,True,Platinum,1310.54,1280.34,30.2,PayPal,Standard,5.0,ONLINE,4.71,38.41,"7238 Gross Grove, Lake Alexandertown, PA 44921","7238 Gross Grove, Lake Alexandertown, PA 44921",High,False
ORD-42118199,2,2025-05-03T05:57:25,CUST-8141,kevin.lamb@yahoo.com,Phone,True,Silver,418.18,400.37,17.81,Google Pay,Standard,5.0,CSR-0006,4.36,8.01,"631 Ashley Mill Apt. 183, Lake Richardhaven, ND 61588","631 Ashley Mill Apt. 183, Lake Richardhaven, ND 61588",Medium,False
ORD-48753292,4,2025-05-03T07:40:26,GUEST-102558,lellis@example.net,Web,False,Gold,732.28,732.28,0.0,Credit Card,Overnight,80.0,ONLINE,61.22,18.31,"284 Caldwell Garden, Port Michaelville, MI 23760","284 Caldwell Garden, Port Michaelville, MI 23760",Medium,False
ORD-89295678,1,2025-05-03T10:47:11,CUST-9086,kelsey.gutierrez@gmail.com,Web,True,Gold,664.59,535.98,128.61,Google Pay,Overnight,80.0,ONLINE,68.52,10.72,"6430 Miller Plains Suite 056, Russellfort, NH 09246","6430 Miller Plains Suite 056, Russellfort, NH 09246",Medium,False
ORD-07951406,14,2025-05-04T15:48:42,CUST-6348,javier.hebert@gmail.com,Social Media,False,Platinum,6265.08,6059.21,205.87,Credit Card,Standard,5.0,ONLINE,4.86,151.48,"01631 White Avenue, East Bethany, MN 20411","01631 White Avenue, East Bethany, MN 20411",High,False
ORD-62460289,6,2025-05-04T17:57:42,CUST-7611,sharon.klein@gmail.com,Phone,False,Platinum,2048.81,2021.05,27.76,Credit Card,Overnight,80.0,CSR-0004,73.47,50.53,"34084 Meyer Fork Apt. 502, Fieldsbury, OK 32460","34084 Meyer Fork Apt. 502, Fieldsbury, OK 32460",High,False
ORD-93050671,8,2025-05-04T20:53:22,GUEST-102924,perezkathleen@example.com,Web,False,Platinum,2095.36,2055.89,39.47,Apple Pay,Standard,5.0,ONLINE,4.63,41.12,"9642 Patrick Views Suite 775, Meagantown, KY 55077","9642 Patrick Views Suite 775, Meagantown, KY 55077",High,False
ORD-44728386,1,2025-05-05T02:54:33,GUEST-102587,emoyer@example.org,Phone,False,Silver,230.49,230.49,0.0,PayPal,Two-Day,45.0,CSR-0013,39.34,6.91,"8594 Jacob Trafficway Suite 723, Lake Michelle, AL 57059","8594 Jacob Trafficway Suite 723, Lake Michelle, AL 57059",Low,False
ORD-93430697,6,2025-05-05T12:14:00,GUEST-102678,emily76@example.net,Web,False,Platinum,1353.76,1311.73,42.03,PayPal,Standard,5.0,ONLINE,4.72,39.35,"1690 Hall Summit Suite 167, Nancyport, ME 90400","1690 Hall Summit Suite 167, Nancyport, ME 90400",High,False
ORD-89315847,4,2025-05-05T13:24:04,CUST-7972,jasmine.perkins@yahoo.com,Ebay,False,Gold,513.03,513.03,0.0,Credit Card,Standard,5.0,ONLINE,4.9,12.83,"06652 Perez Station Suite 552, Port Brettland, MH 65879","06652 Perez Station Suite 552, Port Brettland, MH 65879",Medium,False
ORD-10356039,10,2025-05-05T19:33:06,CUST-7858,john.moore@gmail.com,Web,False,Platinum,3335.41,3310.14,25.27,Credit Card,Overnight,80.0,ONLINE,63.85,82.75,"0554 Smith Oval, Reginaland, MH 23218","0554 Smith Oval, Reginaland, MH 23218",High,False
ORD-64978101,5,2025-05-05T22:46:45,GUEST-103658,austin86@example.com,Web,True,Platinum,1220.66,1078.95,141.71,Credit Card,Standard,5.0,ONLINE,4.77,26.97,"872 Brendan Flat, Lauramouth, WY 54764","872 Brendan Flat, Lauramouth, WY 54764",High,False
ORD-95164305,3,2025-05-05T23:52:41,CUST-7138,audrey.davis@yahoo.com,Ebay,True,Silver,489.73,489.73,0.0,PayPal,Standard,5.0,ONLINE,4.05,14.69,"73600 Ward Branch Suite 084, Lake Jameshaven, IN 66103","73600 Ward Branch Suite 084, Lake Jameshaven, IN 66103",Medium,False
ORD-82562876,6,2025-05-06T02:07:13,CUST-7209,rhonda.gonzalez@hotmail.com,Web,False,Platinum,2752.69,2569.43,183.26,Credit Card,Standard,5.0,ONLINE,3.92,64.24,"460 Ward Inlet, North Christine, MT 57782","460 Ward Inlet, North Christine, MT 57782", HIGH ,False
ORD-74775503,5,2025-05-06T12:32:27,CUST-9472,david.day@yahoo.com,Ebay,True,Platinum,1711.92,1711.92,0.0,Credit Card,Two-Day,45.0,ONLINE,34.41,42.8,"6567 Contreras Mount Apt. 028, Jayberg, MA 73345","6567 Contreras Mount Apt. 028, Jayberg, MA 73345",High,False
ORD-05971125,4,2025-05-06T13:27:53,CUST-8634,robert.david@hotmail.com,Ebay,False,Gold,964.85,907.07,57.78,Credit Card,Standard,5.0,ONLINE,4.72,22.68,"0411 Mark Parks Apt. 126, East Jennifer, OK 56122","0411 Mark Parks Apt. 126, East Jennifer, OK 56122",High,False
ORD-97724069,6,2025-05-07T22:52:28,GUEST-101063,joel60@example.net,Phone,True,Platinum,1114.68,1113.66,1.02,  Credit Card ,Standard,5.0,CSR-0012,4.29,27.84,"4097 Allen Coves Apt. 250, Lindabury, UT 12393","4097 Allen Coves Apt. 250, Lindabury, UT 12393",High,False
ORD-97233954,1,2025-05-08T09:07:57,GUEST-101839,garciastephanie@example.net,Web,True,Silver,220.84,220.84,0.0,Google Pay,Standard,5.0,ONLINE,4.48,4.42,"1274 Ortega Circle Suite 950, Zacharychester, DC 46554","1274 Ortega Circle Suite 950, Zacharychester, DC 46554",low,False
ORD-75895620,6,2025-05-08T13:53:31,CUST-10605,thomas.pearson@yahoo.com,Phone,True,Platinum,3210.8,2886.65,324.15,Credit Card,Two-Day,45.0,CSR-0004,34.53,72.17,"693 Jason Plaza Apt. 221, North Amystad, ME 19146","693 Jason Plaza Apt. 221, North Amystad, ME 19146",High,False
ORD-09325675,5,2025-05-09T01:30:51,CUST-9271,joseph.sanchez@hotmail.com,Phone,False,Gold,771.75,708.11,63.64,Credit Card,Overnight,80.0,CSR-0008,63.55,17.7,"046 Padilla Mount, Ericfort, IL 70598","046 Padilla Mount, Ericfort, IL 70598",High,False
ORD-70239618,6,2025-05-09T10:13:47,CUST-7637,sharon.velez@yahoo.com,NewEgg,False,Platinum,1606.69,1563.36,43.33,PayPal,Standard,5.0,ONLINE,4.25,46.9,"842 Bray Ramp Apt. 177, South Christyton, UT 43712","842 Bray Ramp Apt. 177, South Christyton, UT 43712",High,False
ORD-29062941,1,2025-05-09T23:36:30,GUEST-102000,cruzerika@example.net,Web,False,Silver,353.24,284.63,68.61,Credit Card,Standard,5.0,ONLINE,3.96,7.12,"80014 Matthew Rue, New Kimberlyland, KS 41772","80014 Matthew Rue, New Kimberlyland, KS 41772",Medium,False
ORD-40334560,7,2025-05-10T00:25:46,GUEST-102053,juliefrancis@example.org,Phone,False,Platinum,1342.69,1342.69,0.0,ACH, Standard  ,5.0,CSR-0011,4.61,13.43,"13397 White Land, Smithhaven, WY 00506","13397 White Land, Smithhaven, WY 00506",High,False
ORD-28752749,5,2025-05-10T02:48:17,CUST-8526,angela.robinson@yahoo.com,Web,False,Platinum,1100.44,1055.04,45.4,Credit Card,Standard,5.0,ONLINE,4.44,26.38,"4418 Kristen Mountain, Arroyobury, MA 08052","4418 Kristen Mountain, Arroyobury, MA 08052",High,False
ORD-40389825,7,2025-05-10T16:43:10,GUEST-103550,fmercado@example.org,Ebay,False,Platinum,2184.61,2111.22,73.39,CREDIT CARD,Standard,5.0,ONLINE,3.96,52.78,"6603 Donna Lock Apt. 990, Combsbury, TX 87901","6603 Donna Lock Apt. 990, Combsbury, TX 87901",High,False
ORD-87307287,6,2025-05-10T17:55:34,GUEST-101153,donald29@example.com,Social Media,False,Platinum,1003.51,989.81,13.7,Credit Card,Standard,5.0,ONLINE,4.33,24.75,"722 Taylor Crest, West Christopherbury, TX 96625","722 Taylor Crest, West Christopherbury, TX 96625",High,False
ORD-00755437,3,2025-05-11T08:15:16,CUST-8922,julie.beck@gmail.com,Web,True,Silver,349.44,349.44,0.0,Credit Card,Standard,5.0,ONLINE,4.92,8.74,"PSC 7837, Box 4643, APO AP 96132","PSC 7837, Box 4643, APO AP 96132",Medium,False
ORD-04789824,8,2025-05-11T10:41:05,CUST-6418,earl.grant@hotmail.com,Web,False,Platinum,2266.22,2170.08,96.14,Credit Card,Two-Day,45.0,ONLINE,40.41,54.25,"4966 Dougherty Mills Apt. 366, Port Kellyfort, KS 14071","4966 Dougherty Mills Apt. 366, Port Kellyfort, KS 14071",High,False
ORD-94259641,1,2025-05-11T11:25:52,CUST-10157,heather.peters@hotmail.com,Social Media,False,Bronze,24.9,24.9,0.0,Credit Card,Standard,5.0,ONLINE,4.73,0.62,"12800 Alexandra Freeway, Port Dawntown, KY 54560","12800 Alexandra Freeway, Port Dawntown, KY 54560",Low,False
ORD-10567311,2,2025-05-11T12:18:52,GUEST-102599,reedsherry@example.com,Web,False,Gold,546.89,519.59,27.3,PayPal,Standard,5.0,ONLINE,4.5,15.59,"08113 Gutierrez Tunnel Apt. 370, East Jakeside, NE 72541","08113 Gutierrez Tunnel Apt. 370, East Jakeside, NE 72541",Medium,False
ORD-00736090,5,2025-05-11T17:21:00,GUEST-103741,megan42@example.org,Web,False,Platinum,1378.5,1322.82,55.68,PayPal,Overnight,80.0,ONLINE,67.02,39.68,"6589 Joseph Forge, Youngmouth, NJ 39984","6589 Joseph Forge, Youngmouth, NJ 39984",High,False
ORD-50008254,2,2025-05-11T21:23:26,GUEST-102137,jennifer80@example.org,Phone,False,Silver,389.58,389.58,0.0,Google Pay,Standard,5.0,CSR-0014,3.85,7.79,"00822 Roberts Spurs Suite 360, Baldwinberg, SC 59643","00822 Roberts Spurs Suite 360, Baldwinberg, SC 59643",Medium,False
ORD-75983590,6,2025-05-11T22:53:17,CUST-10239,lynn.johnson@hotmail.com,Social Media,False,Gold,929.06,883.2,45.86,Credit Card,Two-Day,45.0,ONLINE,34.12,22.08,"524 Rodney Drives, Lucasville, ME 72605","524 Rodney Drives, Lucasville, ME 72605",High,False
ORD-19288666,3,2025-05-13T02:28:11,CUST-7635,tyler.bryant@gmail.com,Phone,False,Silver,402.88,385.46,17.42,Credit Card,  Standard  ,5.0,CSR-0012,4.28,9.64,"940 Figueroa Mountain Apt. 797, New Andrew, VI 18701","940 Figueroa Mountain Apt. 797, New Andrew, VI 18701",Medium,False
ORD-90101701,7,2025-05-13T07:47:34,CUST-9726,steven.simmons@yahoo.com,Ebay,False,Platinum,2166.92,2125.38,41.54,Credit Card,Two-Day,45.0,ONLINE,35.59,53.13,"Unit 4996 Box 5756, DPO AP 45299","Unit 4996 Box 5756, DPO AP 45299",High,False
ORD-43659971,6,2025-05-13T09:23:49,GUEST-102372,barryturner@example.org,Phone,True,Gold,519.55,512.07,7.48,ACH,Two-Day,45.0,CSR-0017,41.7,5.12,"808 Reilly Circle Suite 588, Susanbury, VA 07711","808 Reilly Circle Suite 588, Susanbury, VA 07711",Medium,False
ORD-79527928,1,2025-05-13T09:29:36,CUST-10719,jason.neal@yahoo.com,Web,False,Bronze,45.9,45.9,0.0,Credit Card,Standard,5.0,ONLINE,4.05,1.15,"76782 Kelly Manor, North Rhonda, CO 17682","76782 Kelly Manor, North Rhonda, CO 17682",Low,False
ORD-09840034,4,2025-05-13T21:23:09,GUEST-102852,michaelroberson@example.org,Web,False,Silver,316.07,316.07,0.0,PayPal,Standard,5.0,ONLINE,4.11,9.48,"881 Albert Ville, New Veronicaburgh, AL 96026","881 Albert Ville, New Veronicaburgh, AL 96026",Medium,False
ORD-14551590,6,2025-05-13T22:47:26,CUST-7691,anthony.ball@hotmail.com,Ebay,False,Platinum,1271.0,1255.06,15.94,Credit Card,Overnight,80.0,ONLINE,71.28,31.38,"101 George Gardens, North Elizabethville, PA 76855","101 George Gardens, North Elizabethville, PA 76855",High,False
ORD-39365496,4,2025-05-14T08:14:33,CUST-10444,jim.williams@yahoo.com,Social Media,True,Gold,874.18,874.18,0.0,Credit Card,Overnight,80.0,ONLINE,67.12,21.85,"274 Daniels Isle, Braunborough, AS 14429","274 Daniels Isle, Braunborough, AS 14429",High,False
ORD-49928990,8,2025-05-14T17:04:11,CUST-6246,michael.bell@hotmail.com,Phone,False,Platinum,1460.68,1424.71,35.97,  ACH  ,Standard,5.0,CSR-0018,4.32,14.25,"446 Williams Isle, South Sarahchester, PA 47832","446 Williams Isle, South Sarahchester, PA 47832",High,False
ORD-32634731,1,2025-05-14T17:51:41,CUST-6736,tiffany.hunt@gmail.com,Web,False,Silver,178.59,151.18,27.41,Credit Card,Two-Day,45.0,ONLINE,33.96,3.78,"595 Henry Meadow, South Angelicaton, VA 82823","595 Henry Meadow, South Angelicaton, VA 82823",Low,False
ORD-54294430,13,2025-05-14T19:26:12,CUST-10788,matthew.campbell@hotmail.com,Phone,False,Platinum,6961.6,6540.38,421.22,Credit Card,Two-Day,45.0,CSR-0019,33.55,163.51,"24198 Smith Mission Suite 046, North Melanie, IA 12909","24198 Smith Mission Suite 046, North Melanie, IA 12909",  High ,False
ORD-68588404,7,2025-05-14T20:10:55,CUST-7523,dustin.cuevas@hotmail.com,Phone,False,Platinum,3423.51,3385.98,37.53,Credit Card,Overnight,80.0,CSR-0001,73.24,84.65,"738 Scott Views, South Jennifermouth, AZ 52660","738 Scott Views, South Jennifermouth, AZ 52660",High,False
ORD-75159115,4,2025-05-14T20:59:52,GUEST-100267,rachelowens@example.org,Ebay,False,Platinum,1035.12,969.41,65.71,Credit Card,Two-Day,45.0,ONLINE,34.83,24.24,"933 Virginia Walk Apt. 883, Lake Amanda, GU 63520","933 Virginia Walk Apt. 883, Lake Amanda, GU 63520",high,False
ORD-92035668,6,2025-05-15T07:09:46,CUST-10534,lisa.watson@yahoo.com,Web,False,Platinum,1750.72,1720.19,30.53,Credit Card,Standard,5.0,ONLINE,4.53,43.0,"409 Jeffrey Road, South Benjaminfurt, AL 97460","409 Jeffrey Road, South Benjaminfurt, AL 97460",High,False
